,VIOLATION_TEXT,Unnamed: 14
141,"Section 16.24.330 (B) – Open Storage (Junk, Trash, and Debris): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of appliances; building materials, including glass, brick, stone, wood, or metal; rubbish, tires; automotive parts; or debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items.",
142,"Section 16.24.330 (B) – Open Storage (Vehicles): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of any inoperable, unlicensed, or unregistered motor vehicle and/or tires and automotive parts.",
143,"Section 17.20.070 (G) - Paving: Permanent parking areas containing five or more spaces shall be surfaced with asphalt or concrete, or other hard-surfaced dustless materials, and shall be constructed to provide adequate drainage. ",
144,Section 17.40.520 - Zoning Permit Required: An application for a zoning permit must be filed with the zoning administrator prior to any person commencing any construction or alteration of a structure or initiating a change in the use of the property.,
145,"Section 16.24.410 (A) - Plumbing (Dwelling Units) Every dwelling unit shall contain a bathtub or shower, lavatory, water closet, and kitchen sink which shall be maintained in a sanitary, safe working condition. The lavatory shall be placed in the same room as the water closet or be located in close proximity to the door leading directly into the room in which such water closet is located. A kitchen sink shall not be used as a substitute for the required lavatory.",
146,"Section 16.24.410 (D) - Plumbing (Employee Facilities) A minimum of one water closet, one lavatory, and one drinking facility shall be available to employees. Drinking facilities shall be a drinking fountain, water cooler, bottled water cooler, or disposable cups next to a sink or water dispenser. Drinking facilities shall not be located in toilet rooms or bathrooms.",
147,Section 16.24.430 (B) - Plumbing Systems (Fixtures) All plumbing fixtures shall have adequate clearances for usage and cleaning.,
148,"Section 16.24.430 (A) - Plumbing Systems (General) All plumbing fixtures shall be properly installed and maintained in working order, shall be kept free from obstructions, leaks and defects, and shall be capable of performing the function for which such plumbing fixtures are designed. All plumbing fixtures shall be maintained in a safe, sanitary and functional condition.",
149,"Section 16.24.410 (C) - Plumbing (Hotel) Where private water closets, lavatories, and baths or showers are not provided, one water closet, one lavatory, and one bathtub or shower having access from a public hallway shall be provided for each ten occupants of any hotel.",
150,"Section 16.24.410 (B) - Plumbing (Rooming Houses) At least one water closet, lavatory, and bathtub or shower shall be supplied for each four rooming units in a rooming house.",
151,"Section 16.24.430 (C) - Plumbing Systems (Hazards) Where it is found that a plumbing fixture or system in a building, structure, or premises constitutes a hazard to the occupants or the building, structure, or premises by reason of inadequate service, inadequate venting, cross connection, back siphonage, improper installation, deterioration, damage, or for similar reasons, the director shall require the defects to be corrected to eliminate the hazard.",
152,"Section 10.52.020 - Nuisance declared when: Holes, ponds, ditches and other depressions created by the mining, quarrying or digging operations by means of which rock, gravel, clay or other commercial products of the ground are obtained therefrom, which are left open and accessible to human beings who may receive injuries by reason thereof, are declared to be a nuisance.",
153,"Section 16.24.310 – Responsibility: The owner of the premises shall fully maintain the buildings, structures and premises in compliance with the requirements of Metro Codes chapter 16.24. An owner shall not occupy or permit another person to occupy a building, structure, or premises which is not in a safe, clean, and sanitary.",
