,VIOLATION_DESC,VIOLATION_TEXT
768,BB unauthorized transfer,"M.C.L 7.08.140K: It is unlawful for any beer permit holder or his agent or employee To sell or transfer the equipment or assets of the business authorized by his permit to another for the purpose of continuing the business on the same premises, unless he shall notify the board in writing immediately upon such sale or transfer, and unless he shall give the name and address of the purchaser within said notice. A beer permit holder shall surrender his license to the board within thirty days after the sale or transfer is consummated. "
769,BB sale to intoxicated,"M.C.L 7.08.140L: It is unlawful for any beer permit holder or his agent or employee To Make or allow any sale to any intoxicated person or to any feebleminded, insane or otherwise mentally incapacitated person."
770,BB intoxicated loiter,M.C.L 7.08.140M: It is unlawful for any beer permit holder or his agent or employee Allow any intoxicated person to loiter on or about his premises. 
771,BB delivery 11pm-3am,"M.C.L 7.08.140O: It is unlawful for any beer permit holder or his agent or employee  For any wholesaler or manufacturer to sell or deliver beer, or use, operate or cause to be operated any vehicle carrying beer, within the metropolitan government area after eleven o'clock (11:00) p.m. or before three o'clock (3:00) a.m. This provision shall also apply to platform sales in addition to ordinary deliveries. This subsection shall not apply, however, to trucks returning to the warehouse or to or from a point for the purpose of vehicle repair and further, this subsection shall not apply to trucks transporting beer for delivery outside of the area of metropolitan government. "
772,BB unauthorized storage,"M.C.L 7.08.140P: It is unlawful for any beer permit holder or his agent or employee For a retailer or wholesaler, to store beer in any place other than the address listed on the permit. "
773,BB no sale using food stamps,M.C.L 7.08.140Q: It is unlawful for any beer permit holder or his agent or employee To sell or allow to be sold on the premises of the permittee beer to any person using food stamps issued pursuant to state or federal law for the purchase of such beer. 
774,BB gambling or gambling device,M.C.L 7.08.140R: It is unlawful for any beer permit holder or his agent or employee To allow gambling or gambling devices of any kind or description contrary to state law on the premises. 
775,BB solicitation prostitution,M.C.L 7.08.140S: It is unlawful for any beer permit holder or his agent or employee To allow solicitation for purposes of prostitution on the premises. 
776,BB criminal activity,M.C.L 7.08.140T: It is unlawful for any beer permit holder or his agent or employee To allow or engage in any criminal activity on the premises. 
777,"Detriment public health, safety, morals","M.C.L 7.08.150B:  Revocation, suspension or imposition of a civil penalty may be made where it appears satisfactorily that the premises of any person, firm or corporation holding a beer permit under this chapter are being operated in such manner as to be detrimental to public health, safety and morals."
778,"Unlawful transport, sell, etc. beer","M.C.L 7.08.160: It is lawful to transport, store, sell, distribute, possess, receive and manufacture beer, as defined in Section 7.08.010, within the geographical area of the metropolitan government, subject to all regulations, limitations and restrictions provided in this title."
779,BB wholesaler sales restriction,"M.C.L 7.08.170: It is unlawful for any authorized wholesaler to sell beer to anyone other than a person, firm, corporation, syndicate or association having been authorized and licensed by any city or county as a retailer by a board duly created for the purpose of licensing retail establishments. Provided, however, if a retail business has posted a beer permit, which on its face appears to be valid, a wholesaler who sells beer to the retail business will not be deemed to have violated the provisions of this section."
780,BB purchase unauthorized wholesaler,"M.C.L 7.08.180: No permit holder, except an authorized wholesaler, may sell or store beer within the metropolitan government area unless such beer has been purchased directly from an authorized wholesaler."
781,BB retail sales and storage location,M.C.L 7.08.190: Retailers holding permits to sell beer are authorized to sell and store beer at only the location authorized by the metropolitan beer permit board and specifically designated on their respective permits as the place for which the permit is issued. The sale or storage of beer by a retailer at any place other than the location authorized by the board and specifically named on the face of his permit is prohibited.
782,BB delivery location,M.C.L 7.08.200A: Retailers holding permits from the metropolitan beer permit board are only authorized to deliver beer on the premises for which the permit is issued. The delivery of beer by a retail permit holder at any place other than the premises for which his permit is issued is prohibited. No retail permit holder shall enter into any agreement with any person or conspire with any person to cause beer to be delivered off of the premises for which his permit is issued or at any location other than the one authorized by his permit for the sale of beer. 
783,BB unauthorized resale redelivery,M.C.L 7.08.200B: It shall be unlawful for any holder of a retail beer permit to knowingly permit the purchase of beer at his place of business by anyone for resale and delivery to another. Holders of retail beer permits issued by the board are prohibited from selling beer to any person when the retail permit holder knows or should have reason to know that such beer is purchased for resale and delivery off of the premises for which his permit is issued.
784,BB resale from unauthorized wholesale,"M.C.L 7.08.210: It is unlawful for any retailer holding a permit issued by the metropolitan beer permit board to purchase, accept as a gift or loan, or to receive, swap or exchange, beer, for the purpose of resale, from any person who is not the holder of a valid wholesale permit issued by the board."
785,BB beer permit not returned,"M.C.L 7.08.220: A permit holder must return his permit to the board within fifteen days of termination of the business, change in ownership, relocation of the business or change of the businesses name; provided that, regardless of the failure to return a beer permit, a permit shall expire upon termination of the business, change in ownership, relocation of the business or change of the business's name."
786,BB single location,"M.C.L 7.08.230A: A permit shall be valid Only for a single location, except as provided in subsections D and F of this section, and cannot be transferred to another location. A permit shall be valid for all decks, patios and other outdoor serving areas that are contiguous to the exterior of the building in which the business is located and that are operated by the business. However, a permit holder for a business that is subject to the distance requirements set forth in this chapter, at Section 7.08.090, may not sell beer at a deck, patio and/or other outdoor serving area that is built after the date of the issuance of the permit. "
787,BB operating name on application,M.C.L 7.08.230B: A permit shall be valid Only for a business operating under the name identified in the application.
788,BB cannot transfer to another owner,"M.C.L 7.08.230C: A permit shall be valid Only for the owner to whom the permit is issued and cannot be transferred to another owner. Should the ownership of a location change, the new owner shall apply for a new permit in accordance with Article I of Chapter 7.08. If the owner is a corporation, a change in ownership shall occur when control of at least fifty percent of the stock of the corporation is transferred to a new owner. "
789,BB same building multiple business,"M.C.L 7.08.230D: A permit shall be valid Where an owner operates two or more restaurants or other businesses within the same building, the owner may at the owner's discretion operate some or all such businesses pursuant to the same permit. "
790,BB on and off sales permit,M.C.L 7.08.230E: A permit shall be valid for a business can sell beer for both on-premises and off-premises consumption at the same location pursuant to one permit. 
791,BB caterer permit each site,"M.C.L 7.08.230F: A caterer's permit is valid for each catering site, provided that the notice requirements of Section 7.08.105 are met."
792,BB hotel motel locked in-room,"M.C.L 7.08.240A: Any hotel or motel licensed under this chapter may dispense beer to adult guests through locked, in-room units."
793,BB hotel motel minors,M.C.L 7.08.240B: No minor shall be issued or supplied with a key by any hotel or motel for these units.
794,BB WMD multiple locations,M.C.L 7.20.010A: No wholesaler or distributor shall maintain more than one place of business unless such wholesaler or distributor has received a separate permit from the beer permit board for each place of business.
795,BB WMD contiguous locations,"M.C.L 7.20.010B: If a wholesaler or distributor maintains a place of business that is contiguous to another permitted location, the requirement in subsection A. for separate permits from the beer permit board for each location shall not apply."
796,BB WMD transport,"M.C.L 7.20.010C: Except sales from trucks by salesmen, no beer shall be transferred from, sold in, stored in, brought to rest in, sold from, possessed in, receipted for at, manufactured, wholesaled, or distributed from any other place, building, or location, except from such building, place, or location identified on the wholesaler, distributor, or manufacturer's beer permit. No beer shall be transferred to a retailer or any other purchaser except from the location identified on the wholesaler, distributor, or manufacturer’s beer permit(s)."
797,Permit suspension and revocation,"M.C.L Section 7.20.020: In addition to any other penalty which may be imposed, the beer permit board shall have the power, within its discretion, in addition to any other penalty imposed, to suspend for a fixed period of time or to revoke permanently any wholesaler, distributor, retailer or manufacturer's beer permit, for any violation of this article, upon giving written notice to such wholesaler, distributor, retailer or manufacturer, in the manner and by the procedure prescribed by ordinance and the rules and regulations of the beer permit board governing the revocation of permits issued by it."
798,BB improper attire employ sales,"M.C.L 7.24.030B1: The following acts or conduct have been declared contrary to public policy by the General Assembly of the State of Tennessee when such activities take place upon premises licensed by the alcoholic beverage commission, pursuant to Tennessee Code Annotated Sections 57-4-101, et seq.; and the same are declared to be against the public policy of the metropolitan government of Nashville and Davidson County, and therefore, no beer permit shall be held at any premises where such contract or acts are permitted To employ, use or allow any person in the sale or service of beer or like alcoholic beverages in or upon the premises of a permittee while such person is unclothed or in such attire, costume or clothing as to expose to view any portion of the female breast below the top of the areloa or any portion of the pubic hair, anus, cleft of the buttocks, vulva or genitals."
799,BB improper attire employ,"M.C.L 7.24.030B2: The following acts or conduct have been declared contrary to public policy by the General Assembly of the State of Tennessee when such activities take place upon premises licensed by the alcoholic beverage commission, pursuant to Tennessee Code Annotated Sections 57-4-101, et seq.; and the same are declared to be against the public policy of the metropolitan government of Nashville and Davidson County, and therefore, no beer permit shall be held at any premises where such contract or acts are permitted To employ, use or allow the services of any hostess or other person to mingle with the patrons while such hostess or other person is unclothed or in such attire, costume or clothing as described in subdivision 1 of this subsection"
800,BB encourage improper touch,"M.C.L 7.24.030B3: The following acts or conduct have been declared contrary to public policy by the General Assembly of the State of Tennessee when such activities take place upon premises licensed by the alcoholic beverage commission, pursuant to Tennessee Code Annotated Sections 57-4-101, et seq.; and the same are declared to be against the public policy of the metropolitan government of Nashville and Davidson County, and therefore, no beer permit shall be held at any premises where such contract or acts are permitted To encourage or permit any person on the premises of a permittee to touch, caress or fondle the breast, buttocks, anus or genitals of any other person"
801,Devices which simulate improper attire,"M.C.L 7.24.030B4: The following acts or conduct have been declared contrary to public policy by the General Assembly of the State of Tennessee when such activities take place upon premises licensed by the alcoholic beverage commission, pursuant to Tennessee Code Annotated Sections 57-4-101, et seq.; and the same are declared to be against the public policy of the metropolitan government of Nashville and Davidson County, and therefore, no beer permit shall be held at any premises where such contract or acts are permitted To permit any employee or person to wear or use any device or covering, exposed to view, which simulates the breast, genitals, anus, pubic hair or any portion thereof."
802,BB Simulation of sexual activity,"M.C.L 7.24.030C1: No permittee shall permit any person to perform acts of or acts which simulate: a. Sexual intercourse, masturbation, sodomy, bestiality, oral copulation, flagellation or any sexual acts which are prohibited by law; b. The touching, caressing or fondling of the breast, buttocks, anus or genitals; c. The displaying of the pubic hair, anus, vulva or genitals."
803,18 inches above and 6 feet from patron,"M.C.L 7.24.030C2: Subject to the provisions of subdivision 1 of this subsection, any entertainer who is employed in whole or in part by the permittee to dance at such permittee's premises shall perform only upon a stage at least eighteen inches above the immediate floor level and removed at least six feet from the nearest patron."
804,BB devices wich simulate sexual activity,M.C.L 7.24.030C3: No permittee shall permit any person to use artificial devices or inanimate objects to depict any of the prohibited activities described above.
805,BB publicly expose genitals or anus,M.C.L 7.24.030C4: No permittee shall permit any person to remain in or upon the premises who exposes to public view any portion of his or her genitals or anus.
806,"Film, pics, reproductions depicting acts","M.C.L 7.24.030D: The following acts or conduct have been declared contrary to public policy by the General Assembly of the state of Tennessee when such activities take place upon premises licensed by the alcoholic beverage commission, pursuant to Tennessee Code Annotated Sections 57-4-101, et seq.; and the same are declared to be against the public policy of the metropolitan government of Nashville and Davidson County; and, therefore, no beer permit shall be held at any premises where such conduct or acts are permitted:The showing of film, still pictures, electronic reproduction, or other visual reproductions depicting: a. Acts or simulated acts of sexual intercourse, masturbation, sodomy, bestiality, oral copulation, flagellation or any sexual acts which are prohibited by law; b. Any person being touched, caressed or fondled on the breast, buttocks, anus or genitals; c. Scenes wherein a person displays the vulva or the anus or the genitals; d. Scenes wherein artificial devices or inanimate objects are employed to depict, or drawings are employed to portray, any of the prohibited activities described above."
839,Flavored Beer labeling,"T.C.A 57-5-112(a): Any wholesaler or retailer selling or distributing any product regulated under this chapter in a twenty-five and four-tenths ounce (25.4 oz.) container may distribute such container only if the container has affixed to it a label, printed in at least three-sixteenths inches (3/16'') type, which states ""flavored beer."" Nothing herein shall be construed to impose upon a brewer or importer the duty to affix the labels required under this subsection (a) prior to sale to a wholesaler."
840,Indicating flavored beer product,"T.C.A 57-5-112(b): Any retail permittee or licensee under this title which elects to distribute any beer product in a twenty-five and four-tenths ounce (25.4 oz.) container is prohibited from indicating, directly or indirectly, that the product is not a flavored beer product. Any retail permittee or licensee violating this section shall be subject to sanctions imposed by law."
878,Dist exempt not meet reqmts,"M.C.L 7.08.090E5: Failure of a retail food store permit holder that is exempted from the distance requirements pursuant to this subsection to meet the applicable requirements in subsection E.2. above shall constitute grounds for revocation of a permit for the sale of beer. Upon revocation of a beer permit for failure to meet the applicable requirements in subsection E.2., the retail food store applicant shall be required to reapply for the permit without being exempted from any distance requirements."
879,Application false statement,M.C.L 7.08.040D: false statement on application forfeiture of permit not elgible for 10 years.
880,Draft Beer Keg,"M.C.L 7.08.120B:  ""Draft beer,"" as defined in this section, means beer which is poured from a pressurized container or keg into a container approved by the State of Tennessee, which is then commercially sealed. The process of pouring the beer into the container and commercially sealing same shall take place on the premises of the retailer in an area separate from the area which the public may use."
881,Distance,"M.C.L 7.08.090A1: No beer permit shall be issued to an applicant whose location is less than one hundred feet from a church, a school or its playground, a park, a licensed day care center or nursery school or their playgrounds, or a dwelling for one or two families. One- or two-family dwellings shall not be construed to include house trailers, on wheels or otherwise. Provided,however that the minimum distance requirements contained herein shall not be applicable to any location which is in the DTC or CF zone districts. This subsection shall not affect any location for which a beer permit was in effect within three hundred sixty-five days of May 26, 1992, the effective date of the ordinance codified in this subsection A and, further, shall not affect said location thereafter so long as a beer permit is held for that location without lapse of more than three hundred sixty-five days, even if there is a change of ownership of the location or the business thereon. Provided, however, the foregoing to the contrary notwithstanding, the distance requirements contained herein shall be applied to any location which has been granted a beer permit after January 1, 1992, that was not subject to a minimum distance requirement. Provided, however, the distance requirements provided herein shall not be applicable to a retailer on-sale beer permit for any location that is on a lot in the MUL district under the provisions of Title 17 of the Metropolitan Code of Laws so long as (a) a retailer on-sale beer permit is obtained prior to April 30, 2003; (b) more than fifty percent of the gross sales of said applicant for said location is derived from food sales, excluding sales of alcoholic beverages; and (c) thereafter said permit is held without lapse of more than three hundred sixty-five days, regardless of any change of ownership. Provided however, the distance requirements provided herein shall not be applicable to establishments which are: (a) located within the urban services district"
909,Surrender permits,"Permittees shall surrender their permits, in person, at the offices of the Metropolitan Beer Permit Board, during its business hours, immediately following the termination of their association with the business or location for which the permit(s) have been issued, except as provided by sections 5-1-23(f) & 5-1-23.3(i) of the Metropolitan Code of Laws or except in cases of death, illness, absence from the Metropolitan Government area, or similar circumstances."
922,Caterer Permits,"Pursuant to Metropolitan Code of Laws Section 7.08.105(C), licensed caterers must provide, and the Metropolitan Beer Permit Board must receive, a written and/or electronic notice of any catered event for each site on which beer will be sold or distributed and consumed, the dates of such beer sales and consumption, as well as the individual or entity for whom the caterer is providing beer. Such notice shall be given on a form provided by the staff of the Beer Permit Board. Such notice shall be submitted to and received by the staff of the Beer Permit Board by 4 pm C.S.T. at least one business day prior to the catered event. The staff of the Beer Permit Board will accept signed notices by certified U.S. mail, by hand delivery, or by email to beerboard@nashville.gov. The permitted caterer shall transport or direct the transportation of the beer to and from the facility or location of the catered event, under the Board's transportation and delivery guidelines. The permitted caterer shall provide the staff to supervise the serving and/or dispensing of beer during catered events. A caterer may not cater beer to any location, facility, business, or other entity that is ineligible for either a temporary beer permit or special event beer permit. A caterer may not cater beer to any location, facility, business, or other entity that has a pending violation or has had a beer permit revoked, suspended or denied. A caterer is not precluded from using its permit based solely on distance requirements except as provided in Metropolitan Code of Laws Section 7.08.105(E). No facility, business, or entity may use caterers to provide beer on a recurring basis and for more than two consecutive weeks at the same location as an alternative to obtaining its own beer permit. To that end, no business or other entity may have beer sold or served by a caterer more than five (5) consecutive days per week,"
